id,channel,message,created_at,is_valid_trade,parameters,processed_at,failed_at,exception
45,VANTAGE FOREX SIGNALS OFFICIAL,Scalping gold sell now,2024-10-21 11:02:45,0,,,,Expecting value: line 1 column 1 (char 0)
46,VANTAGE FOREX SIGNALS OFFICIAL,"Gold sell @ 2731 - 2734

sl 2737

tp 2730
tp 2728
tp 2721",2024-10-21 11:02:53,1,"{""symbol"": ""XAUUSD"", ""signal"": ""sell"", ""price"": [2731, 2734], ""stopLoss"": 2737, ""takeProfit"": [2730, 2728, 2721]}",,,
47,Forex Signal Factory (free),Scalping gold sell now,2024-10-21 11:02:57,0,,,,Expecting value: line 1 column 1 (char 0)
48,Forex Signal Factory (free),"Gold sell @ 2731 - 2734

sl 2737

tp 2730
tp 2728
tp 2721",2024-10-21 11:03:42,1,"{""symbol"": ""XAUUSD"", ""signal"": ""SELL"", ""price"": [2731, 2734], ""stopLoss"": 2737, ""takeProfit"": [2730, 2728, 2721]}",,,
49,🎯🎯🎯XAUUSD SIGNAL 🎯🎯🎯,"XAUUSD SELL,2732,2734
TP 2710
TP 2680
TP 2630
SL 2751",2024-10-21 11:14:41,1,"{""symbol"": ""XAUUSD"", ""signal"": ""sell"", ""price"": [2732, 2734], ""stopLoss"": 2751, ""takeProfit"": [2710, 2680, 2630]}",,,
50,Forex Signal Factory (free),Lets scalping sell gold slowly mid risk,2024-10-21 11:22:48,0,,,,Expecting value: line 1 column 1 (char 0)
51,Forex Signal Factory (free),"Sell Gold @2729-2733

Sl :2735

Tp1 :2727.5
Tp2 :2725

Enter Slowly-Layer with proper money management

Do not rush your entries",2024-10-21 11:23:27,1,"{""symbol"": ""XAUUSD"", ""signal"": ""SELL"", ""price"": [""2729-2733""], ""stopLoss"": ""2735"", ""takeProfit"": [""2727.5"", ""2725""]}",,,
52,VANTAGE FOREX SIGNALS OFFICIAL,,2024-10-21 11:29:48,0,,,,Expecting value: line 1 column 1 (char 0)
53,VANTAGE FOREX SIGNALS OFFICIAL,"Andd the touchdownn success 😂 running 40 pips, Close half of your entry and hold the rest with breakeven✅",2024-10-21 11:29:54,0,,,,Expecting value: line 1 column 1 (char 0)
54,Forex Signal Factory (free),"30 pips ✅ Close Half and Lock BE


Close ok i want Hold Lock Breakeven cause Gold still in uptrend",2024-10-21 11:32:48,1,"{""symbol"": ""XAUUSD"", ""signal"": ""BUY"", ""price"": null, ""stopLoss"": null, ""takeProfit"": null}",,,
55,VANTAGE FOREX SIGNALS OFFICIAL,,2024-10-21 11:32:51,0,,,,Expecting value: line 1 column 1 (char 0)
56,VANTAGE FOREX SIGNALS OFFICIAL,60 pips Down to the earth 👏,2024-10-21 11:33:03,0,,,,Expecting value: line 1 column 1 (char 0)
57,Forex Signal Factory (free),"45 pips Lock ✅ Setup Highrisk , best reward",2024-10-21 11:34:48,0,,,,Expecting value: line 1 column 1 (char 0)
58,Forex Signal Factory (free),"Andd the touchdownn success 😂 running 40 pips, Close half of your entry and hold the rest with breakeven✅",2024-10-21 11:35:48,0,,,,Expecting value: line 1 column 1 (char 0)
59,Forex Signal Factory (free),60 pips Down to the earth 👏,2024-10-21 11:36:04,0,,,,Expecting value: line 1 column 1 (char 0)
60,Meta Trader 4 Signals (Free),,2024-10-21 11:37:01,0,,,,Expecting value: line 1 column 1 (char 0)
61,Meta Trader 4 Signals (Free),"XauUsd Sell Now @ 2727-2730

sl:2733

tp1:2725
tp2:2720",2024-10-21 11:37:04,1,"{""symbol"": ""XAUUSD"", ""signal"": ""SELL"", ""price"": [2727, 2730], ""stopLoss"": 2733, ""takeProfit"": [2725, 2720]}",,,
62,🎯🎯🎯XAUUSD SIGNAL 🎯🎯🎯,,2024-10-21 11:40:48,0,,,,Expecting value: line 1 column 1 (char 0)
63,🎯🎯🎯XAUUSD SIGNAL 🎯🎯🎯,,2024-10-21 11:40:51,0,,,,Expecting value: line 1 column 1 (char 0)
64,Forex Signal Factory (free),"SETUP OF THE WEEK TP1//30pips✅

Let’s CLOSE our profit now and set breakeven if you wish to hold now

What a great  day",2024-10-21 11:41:15,0,,,,Expecting value: line 1 column 1 (char 0)
65,Forex Signal Factory (free),,2024-10-21 11:41:22,0,,,,Expecting value: line 1 column 1 (char 0)
66,Forex Signal Factory (free),"FREE SETUP-40PIPS TO START OFF OUR WEEK✅

Let’s CLOSE our profit now and set breakeven if you wish to hold now‼️

Nonstop smashing TP with king 👑",2024-10-21 11:43:48,0,,,,Expecting value: line 1 column 1 (char 0)
67,Forex Signal Factory (free),,2024-10-21 11:43:50,0,,,,Expecting value: line 1 column 1 (char 0)
68,VANTAGE FOREX SIGNALS OFFICIAL,"C'mon team show those Blue blizzards let motivate for more setups

#FEEDBACK",2024-10-21 11:46:48,0,,,,Expecting value: line 1 column 1 (char 0)
69,VANTAGE FOREX SIGNALS OFFICIAL,"Gold buy now

@ 2726.50 - 2722.50

SL : 2718.50

TP1 : 2728.50
TP2 : 2730.50",2024-10-21 11:46:50,1,"{""symbol"": ""XAUUSD"", ""signal"": ""buy"", ""price"": [2726.5, 2722.5], ""stopLoss"": 2718.5, ""takeProfit"": [2728.5, 2730.5]}",,,
70,VANTAGE FOREX SIGNALS OFFICIAL,,2024-10-21 11:46:58,0,,,,Expecting value: line 1 column 1 (char 0)
71,VANTAGE FOREX SIGNALS OFFICIAL,,2024-10-21 11:55:48,0,,,,Expecting value: line 1 column 1 (char 0)
72,VANTAGE FOREX SIGNALS OFFICIAL,,2024-10-21 11:55:55,0,,,,Expecting value: line 1 column 1 (char 0)
73,VANTAGE FOREX SIGNALS OFFICIAL,"FAST ACTION, FAST REWARD! ⚡️

Gold buy active 25 pips📈

DONE HIT TP 1 ✅✅

Let's secure 70% profit. Hold 30%

Stick to breakeven+ okay?",2024-10-21 11:55:59,1,"{""symbol"": ""XAUUSD"", ""signal"": ""buy"", ""price"": null, ""stopLoss"": null, ""takeProfit"": 1}",,,
74,CryptoMau BTC Scalp Signals,"#SIGNAL (WIF/USDT) @CryptoKlondike

🔑 Open LONG at price between $2.633 - $2.663 with X25 leverage on OKX with 2% of your deposit.

🍒 Targets:

1️⃣ Close the order at the price $2.684
2️⃣ Close the order at the price $2.694
3️⃣ Close the order at the price $2.718
4️⃣ Close the order at the price $2.744
5️⃣ Close the order at the price $2.785

❗️ STOP LOSS: $2.546",2024-10-21 12:00:14,1,"{""symbol"": ""wif/usdt"", ""signal"": ""open long"", ""price"": [""$2.633 - $2.663""], ""stopLoss"": ""$2.546"", ""takeProfit"": [""1\u20ac 2\u20ac 3\u20ac 4\u20ac 5\u20ac""]}",,,
75,CryptoMau BTC Scalp Signals,"#SIGNAL (PEPE/USDT) @CryptoKlondike

🔑 Open LONG at price between $0.00001042 - $0.00001054 with X25 leverage on OKX with 2% of your deposit.

🍒 Targets:

1️⃣ Close the order at the price $0.00001062
2️⃣ Close the order at the price $0.00001066
3️⃣ Close the order at the price $0.00001076
4️⃣ Close the order at the price $0.00001086
5️⃣ Close the order at the price $0.00001102

❗️ STOP LOSS: $0.00001008",2024-10-21 12:00:19,1,"{""symbol"": ""pepe/usdt"", ""signal"": ""long"", ""price"": [""$0.00001042 - $0.00001054""], ""stopLoss"": ""$0.00001008"", ""takeProfit"": [""1\u20ac $0.00001062"", ""2\u20ac $0.00001066"", ""3\u20ac $0.00001076"", ""4\u20ac $0.00001086"", ""5\u20ac $0.00001102""]}",,,
76,VANTAGE FOREX SIGNALS OFFICIAL,,2024-10-21 12:02:48,0,,,,Expecting value: line 1 column 1 (char 0)
77,VANTAGE FOREX SIGNALS OFFICIAL,,2024-10-21 12:02:52,0,,,,Expecting value: line 1 column 1 (char 0)
78,VANTAGE FOREX SIGNALS OFFICIAL,"Gold on the move, chasing those 42 pips Hit all TP like a boss! 💣

Keep that collection profit. Fast action, fast results! And for the risk-savvy crew, don't forget to set that breakeven safety net. 🤌",2024-10-21 12:02:59,0,,,,Expecting value: line 1 column 1 (char 0)
79,CryptoMau BTC Scalp Signals,"OKX Futures
#WIF/USDT Entered entry zone ✅
Period: 4 Minutes ⏰",2024-10-21 12:04:53,0,,,,Expecting value: line 1 column 1 (char 0)
80,CryptoMau BTC Scalp Signals,"OKX Futures
#PEPE/USDT Entered entry zone ✅
Period: 6 Minutes ⏰",2024-10-21 12:06:31,0,,,,Expecting value: line 1 column 1 (char 0)
81,VANTAGE FOREX SIGNALS OFFICIAL,"C'mon team show those Blue blizzards let motivate for more setups

#FEEDBACK",2024-10-21 12:10:42,0,,,,Expecting value: line 1 column 1 (char 0)
82,VANTAGE FOREX SIGNALS OFFICIAL,,2024-10-21 12:10:44,0,,,,Expecting value: line 1 column 1 (char 0)
83,VANTAGE FOREX SIGNALS OFFICIAL,Gold sell again,2024-10-21 12:10:47,0,,,,Expecting value: line 1 column 1 (char 0)
84,Forex Signal Factory (free),Gold sell again,2024-10-21 12:12:54,0,,,,Expecting value: line 1 column 1 (char 0)
85,Forex Signal Factory (free),"Gold sell @ 2730 - 2733

sl 2736

tp 2729
tp 2727
tp 2720",2024-10-21 12:13:54,1,"{""symbol"": ""XAUUSD"", ""signal"": ""SELL"", ""price"": [2730, 2733], ""stopLoss"": 2736, ""takeProfit"": [2729, 2727, 2720]}",,,
86,VANTAGE FOREX SIGNALS OFFICIAL,,2024-10-21 12:14:54,0,,,,Expecting value: line 1 column 1 (char 0)
87,VANTAGE FOREX SIGNALS OFFICIAL,"Gold sell @ 2731 - 2733

sl 2736

tp 2730
tp 2728
tp 2720",2024-10-21 12:14:59,1,"{""symbol"": ""XAUUSD"", ""signal"": ""SELL"", ""price"": [2731, 2733], ""stopLoss"": 2736, ""takeProfit"": [2730, 2728, 2720]}",,,
88,Meta Trader 4 Signals (Free),"👆Setup failed 

Waiting for recovery",2024-10-21 12:27:54,0,,,,Expecting value: line 1 column 1 (char 0)
89,Free Forex Signals - Us30 Empire 💰📈,"💰 CADCHF BUY MARKET EXECUTION 

ENTRY:  .62623

SL:  .62455

TP:  .62700
TP:  .62800
TP:  .62900",2024-10-21 12:28:54,1,"{""symbol"": ""CADCHF"", ""signal"": ""buy"", ""price"": ["".62623""], ""stopLoss"": "".62455"", ""takeProfit"": ["".62700"", "".62800"", "".62900""]}",,,
90,👑US30 KINGDOM👑,Hit tp1 but unfortunately back to sl so sl hit⏹,2024-10-21 12:36:54,1,"{""symbol"": ""GOLD"", ""signal"": ""SELL"", ""price"": null, ""stopLoss"": ""SL so sl hit"", ""takeProfit"": ""tp1""}",,,
91,👑US30 KINGDOM👑,✅80🔥PIPS ✅✅ XAUUSD ✅BUY 👌✅,2024-10-21 12:37:54,0,,,,Expecting value: line 1 column 1 (char 0)
92,𝗕𝗧𝗖𝗨𝗦𝗗 𝗙𝗥𝗘𝗘 𝗙𝗢𝗥𝗘𝗫 𝗦𝗜𝗚𝗡𝗔𝗟𝗦 📈📉,"Gold sell @ 2731 - 2733

sl 2736

tp 2730
tp 2728
tp 2720",2024-10-21 12:42:01,1,"{""symbol"": ""XAUUSD"", ""signal"": ""sell"", ""price"": [2731, 2733], ""stopLoss"": 2736, ""takeProfit"": [2730, 2728, 2720]}",,,
93,XAU-USD MASTERS FX,BOOKED PROFIT IN NEW ACCOUNT 🔥🔥,2024-10-21 12:44:54,0,,,,Expecting value: line 1 column 1 (char 0)
94,XAU-USD MASTERS FX,,2024-10-21 12:44:58,0,,,,Expecting value: line 1 column 1 (char 0)
95,Meta Trader 4 Signals (Free),,2024-10-21 12:49:54,0,,,,Expecting value: line 1 column 1 (char 0)
96,Meta Trader 4 Signals (Free),"GBPJPY SELL NOW

@ 195.155 - 195.55

SL : 195.955

TP1 : 194.955
TP2 : 194.755",2024-10-21 12:49:59,1,"{""symbol"": ""GBPJPY"", ""signal"": ""SELL"", ""price"": [195.155, 195.55], ""stopLoss"": 195.955, ""takeProfit"": [194.955, 194.755]}",,,
97,XAU-USD MASTERS FX,GOLD NEW SIGNAL ✨️,2024-10-21 12:50:54,0,,,,Expecting value: line 1 column 1 (char 0)
98,XAU-USD MASTERS FX,GOLD NEW SIGNAL ✨️,2024-10-21 12:55:54,0,,,,Expecting value: line 1 column 1 (char 0)
99,ICT IS SMC TRADING STRATEGY,"https://www.tradingview.com/x/jVahYQgM/

EURUSD BUY 1.08560

SL.  1.08180

TP..1.09971",2024-10-21 13:04:41,1,"{""symbol"": ""EURUSD"", ""signal"": ""buy"", ""price"": null, ""stopLoss"": 1.0818, ""takeProfit"": 1.09971}",,,
100,GBPUSD FX SIGNALS(firepips signal,"Boomm gold fly high 50pip hit TP2🔥🚀collect profit , hold set be✅‼️",2024-10-21 13:06:55,1,"{""symbol"": ""XAUUSD"", ""signal"": ""BUY"", ""price"": null, ""stopLoss"": null, ""takeProfit"": 50}",,,
101,GBPUSD FX SIGNALS(firepips signal,,2024-10-21 13:07:01,0,,,,Expecting value: line 1 column 1 (char 0)
102,GBPUSD FX SIGNALS(firepips signal,"FAST ACTION, FAST REWARD! ⚡️

Gold buy active 25 pips📈

DONE HIT TP 1 ✅✅

Let's secure 70% profit. Hold 30%

Stick to breakeven+ okay?",2024-10-21 13:07:03,0,,,,Expecting value: line 1 column 1 (char 0)
103,GBPUSD FX SIGNALS(firepips signal,,2024-10-21 13:07:07,0,,,,Expecting value: line 1 column 1 (char 0)
104,GBPUSD FX SIGNALS(firepips signal,"BOOM ROUND2 SUCCESS AGAIN WITH ME✅

Buy Gold Running 35Pips✅

Thank God we are successful again, every of MY setup always comes with a solid reason.

You guys just TRUST ME, God willing, the profit will be the same as ME.👌

Secure position of top layer and set be+ now‼️‌‌",2024-10-21 13:07:17,0,,,,Expecting value: line 1 column 1 (char 0)
105,GBPUSD FX SIGNALS(firepips signal,"I HAVE SAID CONFIRM PACAK +50PIPS WUHOO ✅

Kaw2, combine this 2nd setup. Zerofloat keeps pcakuk ❤️

No words to say, only TRUST ME💯

Close half, & set be+‼️‌‌",2024-10-21 13:07:20,0,,,,Expecting value: line 1 column 1 (char 0)
106,GBPUSD FX SIGNALS(firepips signal,"Gold on the move, chasing those 42 pips Hit all TP like a boss! 💣

Keep that collection profit. Fast action, fast results! And for the risk-savvy crew, don't forget to set that breakeven safety net. 🤌",2024-10-21 13:07:23,0,,,,Expecting value: line 1 column 1 (char 0)
107,GBPUSD FX SIGNALS(firepips signal,,2024-10-21 13:07:28,0,,,,Expecting value: line 1 column 1 (char 0)
108,GBPUSD FX SIGNALS(firepips signal,,2024-10-21 13:07:33,0,,,,Expecting value: line 1 column 1 (char 0)
109,Meta Trader 4 Signals (Free),"XauUsd Sell Now @ 2631-2634

sl:2637

tp1:2628
tp2:2625",2024-10-21 13:15:55,1,"{""symbol"": ""XAUUSD"", ""signal"": ""sell"", ""price"": [2631, 2634], ""stopLoss"": 2637, ""takeProfit"": [2628, 2625]}",,,
110,Meta Trader 4 Signals (Free),,2024-10-21 13:16:02,0,,,,Expecting value: line 1 column 1 (char 0)
111,👑US30 KINGDOM👑,TP3 ✅100🔥 PIPS ✅✅ XAUUSD ✅BUY 👌✅,2024-10-21 13:20:55,1,"{""symbol"": ""XAUUSD"", ""signal"": ""buy"", ""price"": null, ""stopLoss"": null, ""takeProfit"": null}",,,
112,VANTAGE FOREX SIGNALS OFFICIAL,"Goshh, waiting too long, end up we hit sl, soryy guys, wait for recovery ya 😔",2024-10-21 13:26:45,0,,,,Expecting value: line 1 column 1 (char 0)
113,VANTAGE FOREX SIGNALS OFFICIAL,"GOLD BUY NOW (Scalping)

 TP1 : 2736.46
 TP2 : 2739.46
 TP3 : 2744.46

 SL : 2729.46",2024-10-21 13:27:12,1,"{""symbol"": ""XAUUSD"", ""signal"": ""buy"", ""price"": null, ""stopLoss"": 2729.46, ""takeProfit"": [2736.46, 2739.46, 2744.46]}",,,
114,VANTAGE FOREX SIGNALS OFFICIAL,Use suitable lot size and follow all signals,2024-10-21 13:27:18,0,,,,Expecting value: line 1 column 1 (char 0)
115,Forex Signal Factory (free),"Goshh, waiting too long, end up we hit sl, soryy guys, wait for recovery ya 😔",2024-10-21 13:29:00,1,"{""symbol"": ""GOLD"", ""signal"": null, ""price"": null, ""stopLoss"": 1.045, ""takeProfit"": 1.065}",,,
116,ICT IS SMC TRADING STRATEGY,"And you trade generously
Very good signal
Don't miss a signal
And these are signals in a trend

And this is very important for VIP channel",2024-10-21 13:31:00,0,,,,Expecting value: line 1 column 1 (char 0)
117,Free Forex Signals - Us30 Empire 💰📈,Hit take profit 1 💰 #us30 💰+600 pips 📉,2024-10-21 13:31:48,0,,,,Expecting value: line 1 column 1 (char 0)
118,𝗕𝗧𝗖𝗨𝗦𝗗 𝗙𝗥𝗘𝗘 𝗙𝗢𝗥𝗘𝗫 𝗦𝗜𝗚𝗡𝗔𝗟𝗦 📈📉,"Congratulations to the first VIP member that has won the $250🎁💵 

Money is on your way 📥",2024-10-21 13:31:55,0,,,,Expecting value: line 1 column 1 (char 0)
119,GBPUSD FX SIGNALS(firepips signal,"GBPCAD SELL 

HIT TP 

Enjoy your profit 📈",2024-10-21 13:37:06,0,,,,Expecting value: line 1 column 1 (char 0)
120,👑US30 KINGDOM👑,,2024-10-21 13:42:05,0,,,,Expecting value: line 1 column 1 (char 0)
121,GBPUSD FX SIGNALS(firepips signal,"BTCUSD BUY @68200

SL 67900
TP 68600
TP 68800",2024-10-21 13:44:06,1,"{""symbol"": ""BTCUSD"", ""signal"": ""buy"", ""price"": null, ""stopLoss"": 67900, ""takeProfit"": [68600, 68800]}",,,
122,VANTAGE FOREX SIGNALS OFFICIAL,,2024-10-21 13:56:12,0,,,,Expecting value: line 1 column 1 (char 0)
123,VANTAGE FOREX SIGNALS OFFICIAL,"Don't sweat it, im right here with you every step of the way, no matter what. You just kick back, relax, and enjoy these awesome profits 😘

HIT TP1 23+ Pips ✔️",2024-10-21 13:56:18,1,"{""symbol"": ""GOLD"", ""signal"": null, ""price"": null, ""stopLoss"": null, ""takeProfit"": 23}",,,
124,𝗕𝗧𝗖𝗨𝗦𝗗 𝗙𝗥𝗘𝗘 𝗙𝗢𝗥𝗘𝗫 𝗦𝗜𝗚𝗡𝗔𝗟𝗦 📈📉,"CADJPY BUY @ 108.47

TP: 108.67 (scalper) 
TP: 108.97 (intraday) 
TP: 109.47 (swing)
SL: 107.80

▪️Use money management 2-3%",2024-10-21 13:59:12,1,"{""symbol"": ""cadjpy"", ""signal"": ""BUY"", ""price"": null, ""stopLoss"": null, ""takeProfit"": ""[108.67, 108.97, 109.47]""}",,,
125,CryptoMau BTC Scalp Signals,Close WIF/USDT,2024-10-21 14:00:15,0,,,,Expecting value: line 1 column 1 (char 0)
126,CryptoMau BTC Scalp Signals,#WIF/USDT Manually Cancelled,2024-10-21 14:00:19,0,,,,Expecting value: line 1 column 1 (char 0)
127,CryptoMau BTC Scalp Signals,#WIF/USDT Manually Cancelled,2024-10-21 14:00:22,0,,,,Extra data: line 4 column 1 (char 7)
128,Market Makers FX📈,GOLD BUY,2024-10-21 14:03:57,0,,,,Expecting value: line 1 column 1 (char 0)
